Value,Description
WGA5,AIR TRAFFIC ADVISORY CENTER (ATAC)
WGA6,RUNWAY 4 MALSR & MALSR SHELTER
WGA7,RUNWAY 4 PAPI & WEATHER PLATFORM & ACCESS PAD
WGA8,RUNWAY 22 MALSR & MALSR SHELTER
WGA9,RUNWAY 22 PAPI & WEATHER PLATFORM & ACCESS PAD
WGD1,POWER GENERATION - WOC DIESEL GENERATOR MODULE 01
WGD2,POWER GENERATION - WOC DIESEL GENERATOR MODULE 02
WGE1,POWER GENERATION - WOC DIESEL GENERATOR MODULE
WGF2,WOC FUEL STORAGE TANKS CONTAINMENT AREA
WGF3,WOC FUEL STORAGE PUMP MODULE
WGF3-01,WOC FUEL STORAGE PUMP MODULE
WGF3-02,WOC FUEL STORAGE PUMP MODULE
WGF4,WOC FIRE STATION EMERGENCY RESPONSE CENTER
WGF5,WOC FIRE STATION ERC EMERGENCY STORAGE AREAS
WGG1,WOC DRILLING CEMENT TANK FARM
WGH1,WOC TELECOM MODULE
WGH2,WOC TELECOMS TOWER
WGJ1,WOC WAREHOUSE/MAINTENANCE SHOP
WGJ1-P1,WOC WAREHOUSE/MAINTENANCE SHOP PARKING AREA
WGJ2,WOC FLEET MAINTENANCE SHOP
WGJ3,WOC DRILLING CHEMICAL STORAGE BUILDING
WGJ3-P1,WOC DRILLING CHEMICAL BUILDING #1 PARKING AREA
WGJ4,WOC CEMENT PLANT
WGJ5,WOC O&M STORAGE BUILDING
WGJ7,WOC CHEMICAL STORAGE BUILDING
WGK2,WOC SOLID WASTE INCINERATOR BUILDING
WGK4,WOC DRY PROPPANT STORAGE BUILDING #1
WGK5,WOC DRY PROPPANT STORAGE BUILDING #2
WGK6,WOC DRY PROPPANT STORAGE BUILDING #3
WGK7,WOC DRY PROPPANT STORAGE BUILDING #4
WGK8,WOC LABORATORY BUILDING
WGL0,WOC WILLOW PERMANENT CAMP
WGL1,WATER TREATMENT – SEALIFT MODULE
WGL2,WASTEWATER TREATMENT – SEALIFT MODULE
WGL3,FUEL TANK TTLA PUMPHOUSE – SEALIFT MODULE
WGL4,WASTE INJECTION FACILITY (WIF) – SEALIFT MODULE
WGL7,INJECTION LIQUIDS FACILITY (ILF) – SEALIFT MODULE
WGL8,WASTE INJECTION FACILITY (WIF) TTLA PUMP – SEALIFT MODULE
WGL9,REIM – SEALIFT MODULE
WGM1,WOC FRESH WATER TREATEMENT MODULE
WGM1-01,WOC FRESH WATER TREATEMENT MODULE
WGM1-02,WOC FRESH WATER TREATEMENT MODULE
WGM2,WOC WASTEWATER TREATMENT MODULE
WGM2-01,WOC WASTEWATER TREATMENT MODULE
WGM2-02,WOC WASTEWATER TREATMENT MODULE
WGM2-03,WOC WASTEWATER TREATMENT MODULE
WGM2-04,WOC WASTEWATER TREATMENT MODULE
WGM2-05,WOC WASTEWATER TREATMENT MODULE
WGM2-06,WOC WASTEWATER TREATMENT MODULE
WGM3,WOC CONTAINMENT AREA
WGM4,WOC WASTE INJECTION FACILITY MODULE AREA
WGM4-01,WOC WASTE INJECTION FACILITY MODULE AREA
WGM4-02,WOC WASTE INJECTION FACILITY MODULE AREA
WGM4-03,WOC WASTE INJECTION FACILITY MODULE AREA
WGM4-04,WOC WASTE INJECTION FACILITY MODULE AREA
